Accession2,gene,totalCount,CountX,CountY,meanX,meanY,type,comparison,log10X,log10Y
MMAR_3536,MMAR_3536,15,9,6,4848.2058,3944.66548333333,Cell Associated,∆eccCb1,3.68558104678269,3.59601017994031
MMAR_3537,MMAR_3537,9,6,3,870.353775,258.292976666667,Cell Associated,∆eccCb1,2.93969581733168,2.41211259728296
MMAR_3539,MMAR_3539,12,6,6,497.763893333333,172.402699,Cell Associated,∆eccCb1,2.69702339067593,2.23654406051208
MMAR_3540,MMAR_3540,15,9,6,13869.379,12115.1638333333,Cell Associated,∆eccCb1,4.14205701601842,4.08332929147654
MMAR_3542,MMAR_3542,9,6,3,291.0348435,274.796866666667,Cell Associated,∆eccCb1,2.46394498704055,2.43901177643287
MMAR_3543,MMAR_3543,15,9,6,673.594151111111,322.54453,Cell Associated,∆eccCb1,2.82839830748328,2.50858968113641
MMAR_3544,MMAR_3544,6,3,3,1509.0413,816.738453333333,Cell Associated,∆eccCb1,3.17870112587013,2.9120830033384
MMAR_3545,embR_1,15,9,6,2572.46502844444,2162.573785,Cell Associated,∆eccCb1,3.41034947942793,3.33497093411219
MMAR_3547,MMAR_3547,15,9,6,4865.81663333333,3982.93878333333,Cell Associated,∆eccCb1,3.68715573866139,3.60020363147465
MMAR_3548,MMAR_3548,6,3,3,996.816466666667,724.134343333333,Cell Associated,∆eccCb1,2.99861520359619,2.85981914514175
MMAR_3549,MMAR_3549,9,6,3,959.354716666667,161.120873333333,Cell Associated,∆eccCb1,2.98197921510348,2.20715180724889
MMAR_3552,MMAR_3552,13,7,6,681.575349142857,1047.11242166667,Cell Associated,∆eccCb1,2.83351387470931,3.01999331156272
MMAR_3553,MMAR_3553,15,9,6,2308.50795,2678.914755,Cell Associated,∆eccCb1,3.36333137450561,3.42795889426438
MMAR_3555,MMAR_3555,15,9,6,48492.7472222222,36453.6123333333,Cell Associated,∆eccCb1,4.68567678856294,4.56174057075278
MMAR_3556,MMAR_3556,15,9,6,3179.81075555556,1907.65663333333,Cell Associated,∆eccCb1,3.5024012739896,3.28050020701988
MMAR_3558,MMAR_3558,15,9,6,57394.8261111111,40545.43,Cell Associated,∆eccCb1,4.75887274444206,4.60794191064014
MMAR_3559,MMAR_3559,15,9,6,63242.0135555556,48259.4826666667,Cell Associated,∆eccCb1,4.80100568893483,4.68358266203575
MMAR_3560,MMAR_3560,15,9,6,332.346615555556,343.39206,Cell Associated,∆eccCb1,2.52159126050438,2.53579024907169
MMAR_3561,MMAR_3561,15,9,6,6592.02388444444,6370.83174333333,Cell Associated,∆eccCb1,3.8190187722424,3.80419613531171
MMAR_3562,MMAR_3562,15,9,6,956.886738888889,481.841631666667,Cell Associated,∆eccCb1,2.98086053591003,2.68290432082214
MMAR_3563,MMAR_3563,15,9,6,860.633022222222,1046.75071666667,Cell Associated,∆eccCb1,2.93481800581085,3.01984326690673
MMAR_3564,qor_1,15,9,6,59628.8742222222,60829.6715,Cell Associated,∆eccCb1,4.77545661005525,4.78411547113788
MMAR_3565,amiC_1,15,9,6,16682.5667777778,12179.45,Cell Associated,∆eccCb1,4.22226287194105,4.08562767685529
MMAR_3566,plcB,15,9,6,3372.9591,1934.3023,Cell Associated,∆eccCb1,3.52801107503088,3.28652434821767
MMAR_3570,MMAR_3570,15,9,6,5579.28802222222,2518.06254833333,Cell Associated,∆eccCb1,3.74657878177836,3.40106651372206
MMAR_3571,MMAR_3571,6,3,3,884.867333333333,728.5062,Cell Associated,∆eccCb1,2.94687816253939,2.86243325221353
MMAR_3573,MMAR_3573,15,9,6,275.667922222222,347.997598333333,Cell Associated,∆eccCb1,2.44038623287257,2.54157624672193
MMAR_3574,MMAR_3574,15,9,6,1613.83658444444,1015.42921166667,Cell Associated,∆eccCb1,3.20785955636677,3.00664965294603
MMAR_3576,MMAR_3576,15,9,6,5487.99121111111,3075.02905,Cell Associated,∆eccCb1,3.73941340718685,3.48784922293911
MMAR_3578,MMAR_3578,9,6,3,745.558216666667,396.387896666667,Cell Associated,∆eccCb1,2.872481560854,2.59812038524026
